offender_url,other_url,APPROVED_VERSION_CREATED_AT,num_copied_media,num_copied_fonts,num_copied_words,agree?
https://www.canva.com/admin/template/EAFcALJx0lc,https://www.canva.com/admin/template/EAFaDhku168,2023-03-08 00:36:39,8,2,1,
https://www.canva.com/admin/template/EAFcAoeRIG8,https://www.canva.com/admin/template/EAFaDvrNVBI,2023-03-08 02:19:41,8,2,1,
https://www.canva.com/admin/template/EAFcAoeRIG8,https://www.canva.com/admin/template/EAFaDvrNVBI,2023-03-08 02:19:41,8,2,1,
https://www.canva.com/admin/template/EAFcAuwifYQ,https://www.canva.com/admin/template/EAFaDgz81j0,2023-03-08 03:44:39,8,2,1,
https://www.canva.com/admin/template/EAFdz0texr4,https://www.canva.com/admin/template/EAEsfEg8ukY,2023-03-21 07:48:28,5,2,4,
https://www.canva.com/admin/template/EAFcAVMzPEI,https://www.canva.com/admin/template/EAFaDrTLNgc,2023-03-08 03:44:02,8,2,1,
https://www.canva.com/admin/template/EAFcAAaG8vo,https://www.canva.com/admin/template/EAFaDmWUbjc,2023-03-08 03:34:52,5,2,4,
https://www.canva.com/admin/template/EAFcAsFf-6g,https://www.canva.com/admin/template/EAFaDqS--50,2023-03-08 03:44:19,8,2,1,
https://www.canva.com/admin/template/EAFdz0texr4,https://www.canva.com/admin/template/EAEsfEg8ukY,2023-03-21 07:48:28,5,2,4,
https://www.canva.com/admin/template/EAFcAGcd8TM,https://www.canva.com/admin/template/EAFaDpWMSBA,2023-03-08 00:21:30,4,2,5,
https://www.canva.com/admin/template/EAFcAuwifYQ,https://www.canva.com/admin/template/EAFaDgz81j0,2023-03-08 03:44:39,8,2,1,
https://www.canva.com/admin/template/EAFclecgtVo,https://www.canva.com/admin/template/EAE4M86XyrY,2023-03-09 06:41:38,4,2,4,
https://www.canva.com/admin/template/EAFcAanoOho,https://www.canva.com/admin/template/EAFaDu6MzFE,2023-03-08 03:47:09,7,2,1,
https://www.canva.com/admin/template/EAFcAbbwuIk,https://www.canva.com/admin/template/EAFaDiCWc3g,2023-03-08 03:46:42,7,2,1,
https://www.canva.com/admin/template/EAFdvsugV4Y,https://www.canva.com/admin/template/EAE9b5MsYWc,2023-03-20 14:09:58,5,2,3,
https://www.canva.com/admin/template/EAFcAanoOho,https://www.canva.com/admin/template/EAFaDu6MzFE,2023-03-08 03:47:09,7,2,1,
